review_id,review_title,review_comment,review_star_rating,reviewed_product_asin,review_year,review_country
R3QVUB9DT90IEE,"Not great - weak audio, mic, cheapo build quality","You'll get what you pay for (or maybe even less) - definitely wouldn't want to (or honestly be able to) enjoy listening to music with this pair. The microphone quality lacks clarity but is kind of serviceable. The overall build quality is somehow even poorer than I was expecting for the price. I've been using Beyerdynamic Byron in-ears for the past several years as my go-to in ear earbuds but I decided to try these out for a change after my last pair died on me, and I definitely regret not spending the extra dollars on another pair of Byrons.",2,B084X7Y51M,2023,Singapore
R1117V2OVYF9VG,Balanced sound,Well balanced sound and reasonable built quality for the price,5,B084X7Y51M,2023,Singapore
R10KG90XG89P1D,Quality ear piece at reasonable price.,Goods arrived the next day after order. Good quality sound.,4,B084X7Y51M,2022,Singapore
RH1H14WGFEEWH,Great cheap earbuds,Exactly what you expect from this company and pretty durable,5,B084X7Y51M,2024,the United States
R2FWKXPGXEIZFZ,Suitable for sleeping,The small profile of the earphones make it perfect for those who like to wear it as they go to sleep,5,B084X7Y51M,2024,the United States
R20GWE7TEAFCQN,Fuzzy audio and the right ear bud stopped working after a month of use.,As the title said.,1,B084X7Y51M,2024,the United States
R1WJ2LKAP8ZSTX,Overpriced; no noticeable sound difference from TW3,"I was forced to replace my TW3 buds repeatedly because they kept spoiling (3 sets in 1.5 years!).

Sound wise TW4 is the same as TW3. The noise cancelling is also the same.

Truth is - Sennheiser buds have the best sound on the market so if you are new to their TW series, you'd think it was worth the money.

My only hope is this set of TW4 buds do not arbitrarily die.

Note****: use ONLY the charging cord they provide you, and not any others. That probably killed my TW3.

Verdict: really not worth the huge price increase. Buy the TW3. It is the same.",3,B0CTQ5YZYP,2024,Singapore
RCJ58C5U967IQ,Sounds great,"I had the tw3’s and these are definitely an upgrade. The bass is deep but not overpowering, no need to turn on the bass boost.  Sound quality is very good as well.
Ive had no connectivity issues like the other reviews. They do get a little uncomfortable after extended periods but I do wear them under noise reduction earmuffs.
ANC is pretty good but not great.
Touch controls are easy and not an issue.",5,B0CTQ5YZYP,2024,the United States
R24WW72H305I6G,"Good, but not great","As some have mentioned, audio quality is great! App is great, feature set also. But geez, call quality in phone more apps like Zoom is unacceptable for a $300 pair of headphones. I’ve had to switch to just using my laptop mic as people in the other side are tired of how bad I sound. I hope Sennheiser hears the feedback and does something quickly about it.",4,B0CTQ5YZYP,2024,the United States
R2WM5DN7L3L2AR,Awesome,"I love the fit, sound, and many features you can personalize with the app. I didn’t think anything would top my AP pro, but imo these do.",5,B0CTQ5YZYP,2024,the United States
R1OLSQ1SWNN3BC,Signal Range...NOT Good,Disappointed in the Signal Range of these HIGH DOLLAR Earbuds.  20 FT away.....SIGNAL....BREAKS UP !!!  THAT SUCKS !!!  My Samsung Buds 2 go 25 FT away...before they break up.  Sound quality is GREAT with App.  Noise Cancelling is GREAT.  Battery life is NOT WHAT IS SAID TO BE.  30 percent....after ONLY 3 HOURS.  Have not let them go dead yet.,3,B0CTQ5YZYP,2024,the United States
R2IM91V7JL68FT,Sounds Great;  BUT…,"OK, Set the app up and calibrated the personalized sound equalization.  They are comfortable and sound amazing.  The problem is; they only last for about 5-hours before notification to recharge.  I fully recharged case with ear buds overnight 3 separate days and each time I only got around 5 hours of battery power.  The advertised battery time states 30 hours.  I was expecting at least 7 to 8 hours of usage before requiring recharging.  With that, the charger case must have enough capacity to fully recharge about 5 times.  Disappointed on less than 8 hour charge time.  Exchanging in hopes I was sent a bad pair.",4,B0CTQ5YZYP,2024,the United States
R2G4D55WGXIE7B,Worst earbuds,"I submitted a long review but I guess Amazon won’t allow truthful, thorough reviews. So, this time I’ll write a review that’s void of anything useful besides that my unit had multiple issues such as connection and terrible sound stage. Overall, these are much worse than the MTW3’s I have. Let’s hope this review doesn’t get taken down too.",1,B0CTQ5YZYP,2024,the United States
RBBJIUQP41H14,Quality of calling bad,this is the second pair. i send the other back because of call muffling on the receiving. the new pair are the same. Am i doing something wrong. 2 pair same problem. maybe somebody can help me. I love the sound but the quality of calling is bad.,4,B0CTQ5YZYP,2024,the United States
R3Q97KUH9EDUN2,Wonderful.,Great product and easy purchase. Excellent sound,5,B0CTQ5YZYP,2024,the United States
RVDVZJDLPUXTN,Came with a completely drained battery (poor storage) and broken,"Left one seems to make a low shhhh noise, while the right one makes a higher pitch SSHHHH that drives me insane. The right headphone does less of noise cancellation than the left one. It makes you feel like you're deaf on one ear and it's uncomfortable.
This was the first sign of failure on my Sony XM4's (twice on different headsets), so I don't have any hopes for this ones.

They also came completely dead. That indicates that the headphones were not stored properly and that's terrible for battery.

Also, the passive noise cancellation is non existent. My $20 pink ""something in chiniese"" brand earbuds do the same job on the passive noise cancellation.
The active noise cancellation is quite poor. I hear the kitchen fan, the clang-clang that the cutlery does when I unload the dishwasher, the noise the baby machine makes and so on. All those drive me insane and I just need to ""turn on silence"" like the Sony XM4's do.

Long story short, I've returned the senheiser crap. I also had purchased the previous model last year and had the same experience.

I guess I just have to suck it up and buy the sony XM4's yearly, pretending it's my mental health / therapy money.",1,B0CTQ5YZYP,2024,Canada
R3JCE126A3LZ6Z,Great quality for its price,As a beginner audiophile earphone it has some of the most unbeatable sound stage quality for its relatively low price.,5,B0BRPR38JR,2024,Singapore
RJIXLGM0G78F9,There are definitely better ones,The fitting for the IEM's are quite bad honestly. The sound is someone okay but there are definitely better sound ones at his price range. The foams provided doesn't fit me at all. Had to use my old foam as a fitting to my ear. Definitely think twice beforehand.,3,B0BRPR38JR,2024,Singapore
R1AB99ENL3F4HJ,Value for money!,"Excited to have received my first non-chifi IEM. I understand the Sennheiser IE200 has some polarizing views, but man, for US$110, I think it's a winner for a pleasurable in-ear hifi experience. I've used Ikko OH10, T-Force(Tangzu) Yuan Li, See Audio Yume, several more and I can safely recommend the IE200 to my friends who are trying to get into the hobby. It drives easily from a dongle DAC on a mobile phone, very light, a little finicky on fit, tip selection is critical, I've to go a size smaller from L to M.",5,B0BRPR38JR,2024,Singapore
